event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,pro_kremlin_indicator,topic,proportion,max,protest_type,unauthorized,authorized,date,month
RUS123,03 February 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Belgorod,Belgorod,,Belgorod,50.6107,36.5802,1,Bel.ru,Subnational,"On 3 February 2018, a rally was organized at Belgorod's Museum Square in defence of Russian athletes who faced expulsion from the Olympics. The rally featured speeches from local athletic groups and occurred separate from the KPRF rally.",0,,1653503228,0,1_cultural,0.7246320581029,True,cultural,0,0,2018-02-03,2
RUS442,01 May 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Primorskiy,Khorolskiy,,Khorol,44.4289,132.0742,1,Prim News,Subnational,"On 1 May 2018, a rally was held in the village of Khorol in commemoration of Labor Day.",0,crowd size=unknown,1653503240,0,2_economic,0.9895140229852184,True,economic,0,0,2018-05-01,5
RUS279,15 March 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),LDPR: Liberal Democratic Party of Russia; CP: A Just Russia; Motherland Party,6,,,0,60,,643,Europe,Russia,Tver,Tver,,Tver,56.8605,35.876,1,Unified Development Register,Other,"On 15 March 2018, a group of defrauded shareholders gathered for a demonstration in Tver. The demonstration was attended by members of the LDPR and A Just Russia, as well as the Motherland party.",0,,1653503241,1,2_economic,0.6842355413652605,True,economic,0,0,2018-03-15,3
RUS1163,09 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),RF: Russia of the Future; Navalny HQ; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Republic of Karelia,Petrozavodskiy,,Petrozavodsk,61.7961,34.3493,1,Petrozavodsk Govorit,Subnational,"On 9 September 2018, supporters of the politician Alexey Navalny held a peaceful protest in Kirov square in Petrozavodsk against raising the retirement age.",0,crowd size=no report,1618568267,0,2_economic,0.993515175093206,True,economic,0,0,2018-09-09,9
RUS1239,17 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation,6,,,0,60,,643,Europe,Russia,Primorskiy,Vladivostokskiy,,Vladivostok,43.1211,131.9226,1,AP,International,"On 17 September 2018, about 1,000 people were reported to march in Vladivostok in support of Communist party candidate for local elections. The candidate Andrei Ischenko had been protesting and was on hunger strike claiming the elections were rigged.",0,,1649286163,0,6_social,0.8379059764214607,True,social,0,0,2018-09-17,9
RUS451,01 May 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Primorskiy,Chernigovskiy,,Sibirtsevo,44.4333,132.7333,1,Prim News,Subnational,"On 1 May 2018, a group of trade laborers gathered for a rally in the village of Sibirtsevo.",0,crowd size=unknown,1653503227,0,2_economic,0.9895140229852184,True,economic,0,0,2018-05-01,5
RUS1414,14 October 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Ingush Ethnic Group (Russia),6,,,0,60,,643,Europe,Russia,Republic of Ingushetia,Magas,,Magas,43.1667,44.8,1,Caucasian Knot; Meduza; TV Rain; Open Caucasus Media,National-International,"On Sunday, October 14th several thousand Ingush protesters continued to take part in an authorized protest in the region's main city of Magas, protesting the land-swap deal with neighbouring Chechnya. No injuries, arrests, or infractions were reported.",0,,1618568299,0,1_cultural,0.9960798609947212,True,cultural,0,1,2018-10-14,10
RUS681,21 May 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Circassian Ethnic Group (Russia),6,,,0,60,,643,Europe,Russia,Republic of Kabardino-Balkaria,Nalchik,,Nalchik,43.4981,43.6189,1,Caucasian Knot,National,"On 21 May 2018, people participated in a rally in Nalchik commemorating Circassian victims of the Caucasian War (1763-1864) on the so-called Memory Day.",0,,1618568717,0,1_cultural,0.7811460673020026,True,cultural,0,0,2018-05-21,5
RUS2250,12 December 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Volgograd,Volgograd,,Volgograd,48.7194,44.5018,1,Caucasian Knot,National,"On 12 December 2018, seven activists held single protests in the center of Volgograd, demanding compliance with the provisions of the Russian Constitution. Articles about guaranteed freedom of assembly, turnover of power and freedom of religious belief in Russia were not respected, according to the protesters .",0,crowd size=seven,1649285425,0,1_cultural,0.5815310180817174,True,cultural,0,0,2018-12-12,12
RUS1260,22 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Penza,Penza,,Penza,53.2007,45.0046,1,7x7,National,"On Sept. 22, 2018: The regional branch of the Communist Party of the Russian Federation organized a rally in Penza against raising the retirement age. The rally participants asked where the retirement savings of the deceased go and called on President Putin to be honest.",0,,1618568280,0,2_economic,0.706062718664547,True,economic,0,0,2018-09-22,9
RUS245,09 March 2018,2018,1,Political violence,Riots,Mob violence,Rioters (Russia),Chechen Ethnic Group (Russia),5,Civilians (Russia),Journalists (International),7,57,Civilian targeting,643,Europe,Russia,Republic of Ingushetia,Magas,,Magas,43.1667,44.8,2,MediaZone; Novaya Gazeta,National,"On 9 March 2018, a bus full of foreign journalists and activists was attacked by a mob of Chechens while traveling from Ingushetia to Chechnya. No fatalities reported",0,,1653503241,0,1_cultural,0.6393392777124131,True,cultural,0,0,2018-03-09,3
RUS1385,08 October 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),RF: Russia of the Future; Navalny HQ,6,,,0,60,,643,Europe,Russia,Belgorod,Belgorod,,Belgorod,50.6107,36.5802,1,Kommersant,National,"On 8 October 2018, several young supporters of Navalny held a protest in Belgorod holding banners reading 'Mail should work' and 'World Mail Day.' This was a symbolic protest, as Navalny's supporters were banned by authorities from holding a protest against pension reform.",0,crowd size=several; crowd size=small,1618568295,0,2_economic,0.7799064292609416,True,economic,0,0,2018-10-08,10
RUS968,28 July 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Novosibirsk,Novosibirsk,,Novosibirsk,55.0415,82.9346,1,ITAR-TASS,National,"On 28 July 2018, a protest against the proposed reform of pension system took place in Novosibirsk, organized by the Communist party. Around 1200 individuals attended. During these days, thousands of people have taken part in rallies across the whole Russia; most were initiated by Communists, but other parties were also particularly involved. More than 2.8 million people have signed a petition against the reform on Change.org.",0,,1649346694,0,2_economic,0.9975793096413816,True,economic,0,0,2018-07-28,7
RUS1609,25 December 2018,2018,1,Demonstrations,Protests,Protest with intervention,Protesters (Russia),Labor Group (Russia),6,Police Forces of Russia (2000-),,1,16,,643,Europe,Russia,Saint Petersburg,Tsentralnyy,,St. Petersburg - Tsentralny,59.9324,30.3654,1,MediaZone; RFE/RL,National-International,"On Tuesday, December 25, 2018, Saint Peterburg police detained Shahnaz Shitik, an activist who was taking part in a protest meeting against the pensions reform in the local Yabloko headquarters. Shitik sustained several injuries during her detention by the police and needed medical attention. She was released two days later, having been charged with petty hooliganism.",0,,1620775289,0,1_cultural,0.8765500554576122,True,cultural,0,0,2018-12-25,12
RUS1145,06 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Arkhangelsk,Arkhangelsk,,Arkhangelsk,64.5401,40.5433,1,29.ru,Subnational,"On Sept. 6, 2018: About 100 people, organized by the Communist party, protested near the Lenin monument in Arkhangelsk against pension reform, including raising the retirement age. Most of the protesters were of retirement or pre-retirement age.",0,,1618568265,0,2_economic,0.9953061973603418,True,economic,0,0,2018-09-06,9
RUS379,14 April 2018,2018,1,Demonstrations,Protests,Protest with intervention,Protesters (Russia),Yabloko: Russian United Democratic Party,6,Police Forces of Russia (2000-),,1,16,,643,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,OVD Info,National,"On 14 April 2018, 4 people were arrested on a rally organized by Yabloko against construction of the stadium Krasnaya Strela in Moscow. It was later revealed that the police simply removed some activists from the scene and that those may have been activists from the other activist group.",0,,1652375201,0,1_cultural,0.8151146590668404,True,cultural,0,0,2018-04-14,4
RUS1397,11 October 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Ingush Ethnic Group (Russia),6,,,0,60,,643,Europe,Russia,Republic of Ingushetia,Magas,,Magas,43.1667,44.8,1,Caucasian Knot; Interfax,National,"On Thursday, October 11th several thousand Ingush protesters continued to take part in an authorized protest in the region's main city of Magas, protesting the land-swap deal with neighbouring Chechnya. No injuries, arrests, or infractions were reported.",0,,1618568297,0,1_cultural,0.9960798609947212,True,cultural,0,1,2018-10-11,10
RUS1458,30 October 2018,2018,1,Demonstrations,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,,643,Europe,Russia,Saint Petersburg,Tsentralnyy,,St. Petersburg - Tsentralny,59.9324,30.3654,1,OVD Info,National,"On Tuesday, October 30, 2018, an unspecified number of people took part in a series of small rallies commemorating the victims of Soviet political repressions in central Saint Petersburg. At least 2 protesters were detained by police.",0,,1620775298,0,1_cultural,0.9011239803136912,True,cultural,0,0,2018-10-30,10
RUS136,03 February 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Government of Russia (2000-),6,,,0,60,,643,Europe,Russia,Republic of Ingushetia,Nazran,,Nazran,43.2152,44.7761,1,RIA Novosti,National,"3 Feb: a patriotic rally and a concert was organized in Nazran Municipality, Ingushetia, within the framework of rallies and events 'Russia in my heart'. Exact number of participants is not known. The events are broadly protests against the decision of Subnational Olympic Committee to ban 28 Russian athletes, from Paralympic games of 2018, over violation of doping rules. The event was organized by the government.",0,,1618568292,0,6_social,0.9402742361560856,True,social,0,0,2018-02-03,2
RUS1197,09 September 2018,2018,1,Demonstrations,Protests,Protest with intervention,Protesters (Russia),Labor Group (Russia); Journalists (Russia),6,Police Forces of Russia (2000-),,1,16,,643,Europe,Russia,Saint Petersburg,Admiralteyskiy,,St. Petersburg,59.931,30.3049,1,Interfax; OVD Info,National,"On 9 September 2018, protest against pension reform was held in St. Petersburg, which reportedly ended up in detention of more than 600 people; seven journalists were reported injured",0,,1618568272,0,1_cultural,0.8520494620967975,True,cultural,0,0,2018-09-09,9
RUS658,18 May 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Krasnodar,Mostovskiy,,Psebay,44.1234,40.8107,1,Meduza,National,"On 18 May 2018, following the murder of a woman, citizens of Psebay participated in a spontaneous rally in Psebay to protest against the result of the murder investigation, which they believe did not take into consideration all elements and aimed at protecting teenagers with family ties to local power structures. The head of Psebay district Pavel Zharkov resigned shortly after on 21 May 2018 and was replaced by Aleksey Bukin.",0,,1618568713,0,1_cultural,0.7483180309099474,True,cultural,0,0,2018-05-18,5
RUS829,29 June 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Primorskiy,Vladivostokskiy,,Vladivostok,43.1211,131.9226,1,Vostok-media,Subnational,"On 29 June 2018, residents of Vladivostok marched against the pension reform.",0,,1618568741,0,2_economic,0.9860780801692692,True,economic,0,0,2018-06-29,6
RUS159,10 February 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Anarchist Group (Russia),6,,,0,60,,643,Europe,Russia,Moscow,,,Moscow,55.7522,37.6156,1,Avtonom,National,"On 10 February 2018, anarchists held a rally in Moscow in protest of alleged torture and police abuse of their fellow activists. They claim that were tortured by electric shocks and beaten to make a confession.",0,crowd size=no report,1653503228,0,1_cultural,0.6637896917868771,True,cultural,0,0,2018-02-10,2
RUS2017,08 July 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Novosibirsk,Novosibirsk,,Novosibirsk,55.0415,82.9346,1,KPRFNSK,Subnational,"On 8 July 2018, young members of the KPRF in Novosibirsk organized a protest against the proposed raise in retiremet age.",0,crowd size=unknown,1652375198,0,2_economic,0.4967213332057228,True,economic,0,0,2018-07-08,7
RUS1514,21 November 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Timeless Protest; GI: Civic Initiative Party,6,,,0,60,,643,Europe,Russia,Samara,Samara,,Samara,53.2001,50.15,1,MBK Media,National,"On 21 November 2018, 10 people gathered in Samara outside the building of the investigation Committee to protest against the fabrication of trumped charges in criminal cases. Activists of the Civic Initiative, the Timeless Protest and the New position held banners.",0,,1618568312,0,5_political,0.569297753203288,True,political,0,0,2018-11-21,11
RUS1422,17 October 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Ingush Ethnic Group (Russia),6,,,0,60,,643,Europe,Russia,Republic of Ingushetia,Magas,,Magas,43.1667,44.8,1,Caucasian Knot; Open Caucasus Media; MediaZone,National-International,"On Wednesday, October 17 several thousand Ingush protesters rallied in central Magas for the last sanctioned day of their protest action against the land swap deal between Chechnya and Ingushetia. The authorities refused to further prolong the permit for holding the protest, with the protesters largely vacating the area by nightfall. No arrests or other disturbances were reported.",0,,1618568300,0,1_cultural,0.6877836671620826,True,cultural,0,0,2018-10-17,10
RUS1310,22 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Ulyanovsk,Ulyanovsk,,Ulyanovsk,54.3282,48.3866,1,Kommersant,National,"On 22 September 2018, a rally against pension reform was held in Ulyanovsk, organized by KPRF. It was attended by around 700-800 people.",0,,1649286163,0,2_economic,0.9929794028510536,True,economic,0,0,2018-09-22,9
RUS573,05 May 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Progress Party,6,,,0,60,,643,Europe,Russia,Republic of Mordovia,Saransk,,Saransk,54.1838,45.1749,1,OVD Info,National,"On 5 May 2018, 65-100 people took part in a sanctioned rally in Saransk as part a country wide mobilisation against the presidential inauguration of Vladimir Putin (organized by RF).",0,,1618568701,0,4_legal,0.9947374353026311,True,legal,0,0,2018-05-05,5
RUS1466,04 November 2018,2018,1,Demonstrations,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,,643,Europe,Russia,Moscow,Tsentralnyy,,Moscow - Central,55.7571,37.6173,1,OVD Info; Novaya Gazeta,National,"On Sunday, November 4, 2018, Moscow police detained 4 or 5 activists protesting and attempting to display a banner beside the Kremlin. No further details were available.",0,,1618568306,0,1_cultural,0.9933873955849232,True,cultural,0,0,2018-11-04,11
RUS137,03 February 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),Government of Russia (2000-),6,,,0,60,,643,Europe,Russia,Nizhny Novgorod,Nizhniy Novgorod,,Nizhny Novgorod,56.2946,43.9412,1,RIA Novosti,National,"3 Feb: a patriotic rally and a concert was organized in Nizhny Novgorod within the framework of rallies and events 'Russia in my heart'. Roughly 5000 individuals attended. The events are broadly protests against the decision of Subnational Olympic Committee to ban 28 Russian athletes, from Paralympic games of 2018, over violation of doping rules. The event was organized by the government.",0,,1618568293,0,6_social,0.8762496190721177,True,social,0,0,2018-02-03,2
RUS1126,02 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Vladimir,Vladimir,,Vladimir,56.1365,40.3966,1,ProVladimir; Tomiks 33,Subnational,"On Sept. 2, 2018: About 500 people, organized by the Communist party, protested at the 'Central Park' in Vladimir against pension reform, including raising the retirement age. Protesters called for the nationalization of natural resources and the resignation of the government of Dmitry Medvedev.",0,,1618568263,0,2_economic,0.8151904103749563,True,economic,0,0,2018-09-02,9
RUS769,13 June 2018,2018,2,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Sakha,Yakutsk,,Yakutsk,62.0339,129.7331,1,RFE/RL,International,"On 13 June 2018, 60 persons gathered in Yakutsk to protest against the increase of utilities rate and the fuel price rise.",0,,1618568730,0,2_economic,0.9915896942890834,True,economic,0,0,2018-06-13,6
RUS2257,12 December 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Udmurt Republic,Izhevsk,,Izhevsk,56.8498,53.2045,1,7x7,National,"On 12 December 2018, 12 civil activists organized single protests in Izhevsk, holding posters demanding that the authorities respect the rights and freedoms of citizens included in the Russian Constitution .",0,crowd size=12,1651181550,0,6_social,0.5266172514397864,True,social,0,0,2018-12-12,12
RUS1285,22 September 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Kurgan,Kurgan,,Kurgan,55.45,65.3333,1,Interfax,National,"On 22 September 2018, protest against pension reform was held in Kurgan, organized by Communist party. The rally was not authorized, and civil assembly was held instead.",0,,1618568284,0,2_economic,0.9230715763989528,True,economic,1,0,2018-09-22,9
RUS380,14 April 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Rostov,Rostov-na-Donu,,Rostov-on-Don,47.2213,39.6939,1,Caucasian Knot,National,"On 14 April 2018, a peaceful demonstration of about 50 people was held in Rostov-on Don in support of the animal rights. The protesters demanded adoption of the law on animal rights, which had been halted in the legislative body. The news reports mention that other cities held similar demonstrations, but other locations were unspecified.",0,,1652375200,0,1_cultural,0.6278496787220146,True,cultural,0,0,2018-04-14,4
RUS254,11 March 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; LF: Left Front; NPSR: People's Patriotic Union of Russia,6,,,0,60,,643,Europe,Russia,Khabarovsk,Khabarovsk,,Khabarovsk,48.4827,135.0838,1,Dvnovosti,Subnational,"On 11 March 2018, members of the KPRF, Left Front, and National Patriotic Forces of Russia organized a rally in Khabarovsk. The rally drew around 150 participants.",0,,1680636678,1,2_economic,0.6221379996084102,True,economic,0,0,2018-03-11,3
RUS978,28 July 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation; Labor Group (Russia),6,,,0,60,,643,Europe,Russia,Sverdlovsk,Ekaterinburg,,Yekaterinburg,56.8519,60.6122,1,Local Source,International,"On 28 July 2018, the Communist Party organized a protest in Yekaterinburg in response to the proposed rise of the Russian retirement age.",0,,1653503240,0,2_economic,0.8122269392240948,True,economic,0,0,2018-07-28,7
RUS2113,07 November 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),KPRF: Communist Party of the Russian Federation,6,,,0,60,,643,Europe,Russia,Tambov,Tambov,,Tambov,52.7317,41.4433,1,KPRF,Other,"On 7 November 2018, Communist party members and supporters held a rally in Tambov to commemorate the 101st anniversary of the Great October Socialist Revolution. They criticized the government for being an oligarchic structure.",0,crowd size=no report,1649285429,0,2_economic,0.7338224550095936,True,economic,0,0,2018-11-07,11
RUS111,30 January 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Moscow,Severo-Zapadnyy,,Moscow - North-Western,55.8246,37.434,1,Obshchaya Gazeta,National,"On 30 January 2018, the residents of Moscow held a protest against building of a luxury residential district 'Silver forest' in their neighbourhood - claiming violation of law on environment protection, cutting trees and using area of Moskvoretsky park for construction purposes.",0,,1649346694,0,3_environmental,0.9965492659396208,True,environmental,0,0,2018-01-30,1
RUS393,18 April 2018,2018,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Yaroslavl,Yaroslavl,,Yaroslavl,57.6198,39.8554,1,OVD Info,National,"On 18 April 2018, a peaceful protest was held in Yaroslavl against bringing garbage from Moscow to the city. It was attended by around 1,000 residents.",0,,1652375200,0,2_economic,0.8122269392240948,True,economic,0,0,2018-04-18,4
RUS261,11 March 2018,2018,1,Demonstrations,Riots,Violent demonstration,Rioters (Russia),,5,Civilians (Russia),Women (Russia); Anarchist Group (Russia),7,57,,643,Europe,Russia,Saint Petersburg,Tsentralnyy,,St. Petersburg - Tsentralny,59.9324,30.3654,1,Avtonom,National,"On 11 March 2018, six far-right activists interrupted a night of solidarity organized by antifascist community at the 'Holy Water' bar in St. Petersburg - Tsentralny. 200 antifascist organizers, as well as members from an animal protection group, feminists, anarchists, leftists and bohemians were in attendance when 6 far-right activists threw trashcans and other objects before discharging pepper-spray into the venue.",0,crowd size=6,1680633609,0,1_cultural,0.9145059975244486,True,cultural,0,0,2018-03-11,3
