"event_id_cnty","event_date","year","time_precision","disorder_type","event_type","sub_event_type","actor1","assoc_actor_1","inter1","actor2","assoc_actor_2","inter2","interaction","civilian_targeting","iso","region","country","admin1","admin2","admin3","location","latitude","longitude","geo_precision","source","source_scale","notes","fatalities","tags","timestamp","pro_kremlin_indicator","topic","proportion","max","protest_type","unauthorized","authorized","date","month_year"
"RUS9211","28 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Rostov","Rostov-na-Donu","","Rostov-on-Don",47.2213,39.6939,1,"Caucasian Knot","National","On 28 November 2022, residents staged pickets in front of the regional government building in Rostov-on-Don, protesting against the absence of heating in the residential buildings where they live and the government's inaction.",0,"crowd size=no report",1670352627,0,"3_environmental",0.622249758579269,TRUE,"environmental",0,0,2022-11-28,"2022-11"
"RUS9208","27 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Women (Russia)",6,"","",0,60,"",643,"Europe","Russia","Republic of Tatarstan","Kazan","","Kazan",55.7887,49.1221,1,"RFE/RL","International","On 27 November 2022, around 12 activists, all of them women, staged pickets in Kazan against domestic violence.",0,"crowd size=around 12",1670352627,0,"4_legal",0.659998365499409,TRUE,"legal",0,0,2022-11-27,"2022-11"
"RUS9207","27 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-)",6,"","",0,60,"",643,"Europe","Russia","Novosibirsk","Barabinskiy","","Barabinsk",55.347,78.3485,1,"Vecherniy Novosibirsk","Subnational","On 27 November 2022, people gathered in Barabinsk in support of the Russian armed forces. The head of the Barabinskiy district spoke at the event.",0,"crowd size=no report",1680633864,0,"7_war",0.992783293534208,TRUE,"war",0,0,2022-11-27,"2022-11"
"RUS9205","26 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Ryazan","Ryazan","","Ryazan",54.6269,39.6916,1,"Moskovskij Komsomolets","National","On 26 November 2022, residents protested in Ryazan against the restrictions imposed on several neighborhoods in the Ryazan region, which are related to their current status of cultural heritage ('Yesenin's Russia').",0,"crowd size=no report",1670352627,0,"3_environmental",0.498054675065568,TRUE,"environmental",0,0,2022-11-26,"2022-11"
"RUS9206","26 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of Mordovia","Saransk","","Saransk",54.1838,45.1749,1,"ProGorodSaransk","Subnational","On 26 November 2022, people gathered in Saransk in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633864,0,"7_war",0.98961240310313,TRUE,"war",0,0,2022-11-26,"2022-11"
"RUS9180","25 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Vesna",6,"","",0,60,"",643,"Europe","Russia","Novosibirsk","Novosibirsk","","Novosibirsk",55.0415,82.9346,1,"Activatica","Other","On 25 November 2022, 4 activists of a youth opposition movement Vesna staged anti-war pickets at different locations in Novosibirsk, protesting against the Russian military invasion of Ukraine.",0,"crowd size=4",1680633863,0,"1_cultural",0.49783894096648,TRUE,"cultural",0,0,2022-11-25,"2022-11"
"RUS9161","25 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-)",6,"","",0,60,"",643,"Europe","Russia","Krasnoyarsk","Krasnoyarsk","","Krasnoyarsk",56.0184,92.8672,1,"Moskovskij Komsomolets","National","On 25 November 2022, residents gathered in Krasnoyarsk to participate in a concert-rally in support of the Russian armed forces. State Duma deputies spoke at the event.",0,"crowd size=no report",1680633863,0,"7_war",0.993738914723102,TRUE,"war",0,0,2022-11-25,"2022-11"
"RUS9179","25 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-); ER: United Russia",6,"","",0,60,"",643,"Europe","Russia","Republic of Kabardino-Balkaria","Nalchik","","Nalchik",43.4981,43.6189,1,"RIA Novosti","National","On 25 November 2022, residents gathered in Nalchik to participate in a rally in support of the Russian military invasion of Ukraine. The vice-chairman of the regional parliament, who is a member of the ruling United Russia party, spoke at the event.",0,"crowd size=no report",1680633863,1,"7_war",0.995519006219509,TRUE,"war",0,0,2022-11-25,"2022-11"
"RUS9176","24 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Krasnodar","Novorossiysk","","Novorossiysk",44.7243,37.7675,1,"FederalPress","National","On 24 November 2022, activists protested in Novorossiysk, demanding to close down a landfill located close to residential areas, due to environmental and health concerns.",0,"crowd size=no report",1669737880,0,"3_environmental",0.923199183550677,TRUE,"environmental",0,0,2022-11-24,"2022-11"
"RUS9167","21 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Rostov","Rostov-na-Donu","","Rostov-on-Don",47.2213,39.6939,1,"Komsomolskaya Pravda","National","On 21 November 2022, over 10 residents staged a mass picket in Rostov-on-Don, because of the absence of heating in their homes, despite low temperatures.",0,"crowd size=over 10",1669737881,0,"2_economic",0.827740633924213,TRUE,"economic",0,0,2022-11-21,"2022-11"
"RUS9163","20 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","LF: Left Front",6,"","",0,60,"",643,"Europe","Russia","Penza","Penza","","Penza",53.2007,45.0046,1,"RFE/RL","International","On 20 November 2022, Left Front activists staged pickets at different locations in Penza, demanding freedom for political prisoners.",0,"crowd size=no report",1669737882,0,"1_cultural",0.993387395584923,TRUE,"cultural",0,0,2022-11-20,"2022-11"
"RUS9159","20 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-)",6,"","",0,60,"",643,"Europe","Russia","Khabarovsk","Khabarovsk","","Khabarovsk",48.4827,135.0838,1,"KhabarovskTV","Subnational","On 20 November 2022, residents gathered in Khabarovsk to participate in a concert-rally in support of the Russian armed forces. Representatives of the local authorities also took part in the event.",0,"crowd size=no report",1680633863,0,"7_war",0.994471047110457,TRUE,"war",0,0,2022-11-20,"2022-11"
"RUS9178","19 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","VOOPIiK: All-Russian Society for Protection of Historical and Cultural Monuments",6,"","",0,60,"",643,"Europe","Russia","Ryazan","Ryazan","","Ryazan",54.6269,39.6916,1,"Moskovskij Komsomolets; Activatica","Other-National","On 19 November 2022, activists of the All-Russian Society for Protection of Historical and Cultural Monuments staged a mass picket in Ryazan, protesting against the authorities' plans to construct multi-store buildings in the historical centre.",0,"crowd size=no report",1669737880,0,"1_cultural",0.524351252995708,TRUE,"cultural",0,0,2022-11-19,"2022-11"
"RUS9157","18 November 2022",2022,2,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of Dagestan","Kizlyar","","Tsvetkovka",43.9404,46.835,1,"Caucasian Knot","National","Around 18 November 2022 (as reported), several dozen residents protested in front of the local school building in Tsvetkovka against the appointment of a new school principal, whose candidacy was decided without consultations with the parents.",0,"crowd size=several dozen",1669737880,0,"6_social",0.663727397941125,TRUE,"social",0,0,2022-11-18,"2022-11"
"RUS9153","18 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Jewish Autonomous Oblast","Birobidzhan","","Birobidzhan",48.7818,132.9213,1,"GTRK Birobidzhan","Subnational","On 18 November 2022, people gathered in Birobidzhan to participate in a concert-rally in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633862,0,"7_war",0.991483419008936,TRUE,"war",0,0,2022-11-18,"2022-11"
"RUS9123","18 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-); Combat Brotherhood; Former Military Forces of Russia (2000-)",6,"","",0,60,"",643,"Europe","Russia","Saratov","Saratov","","Saratov",51.5406,46.0086,1,"Komsomolskaya Pravda","National","On 18 November 2022, people gathered in Saratov to participate in a concert-rally in support of the Russian military invasion of Ukraine. High-level state officials and members of a veterans' organization Combat Brotherhood spoke at the event.",0,"crowd size=no report",1680633862,1,"7_war",0.995519006219509,TRUE,"war",0,0,2022-11-18,"2022-11"
"RUS9125","17 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Labor Group (Russia)",6,"","",0,60,"",643,"Europe","Russia","Republic of Chuvash","Cheboksary","","Cheboksary",56.1322,47.2519,1,"Activatica","Other","On 17 November 2022, activists staged organized pickets in Cheboksary in support of the couriers' trade union leader who had been arrested and charged with repeatedly violating the law on public gatherings, which is a criminal offense under the Russian legislation.",0,"crowd size=no report",1669144124,0,"2_economic",0.453260006519194,TRUE,"economic",0,0,2022-11-17,"2022-11"
"RUS9128","17 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","ONF: All-Russia People's Front",6,"","",0,60,"",643,"Europe","Russia","Nizhny Novgorod","Nizhniy Novgorod","","Nizhny Novgorod",56.2946,43.9412,1,"NNTV","Subnational","On 17 November 2022, people gathered in Nizhny Novgorod to participate in a concert-rally in support of the Russian military invasion of Ukraine. ONF members spoke at the event.",0,"crowd size=no report",1680633862,0,"7_war",0.994127712727527,TRUE,"war",0,0,2022-11-17,"2022-11"
"RUS9152","14 November 2022",2022,2,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of Dagestan","Makhachkala","","Novyi Khushet",42.9003,47.5575,1,"Caucasian Knot","National","Around 14 November 2022 (as reported), dozens of residents gathered in Novyi Khushet, demanding the authorities put an end to the illegal land seizure and find a solution to the problem with the allocation of land to the residents. People complained that they have waited for years for the land slots to be allocated to them by the local authorities.",0,"crowd size=dozens",1669144124,0,"3_environmental",0.63183341135824,TRUE,"environmental",0,0,2022-11-14,"2022-11"
"RUS9127","14 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","ONF: All-Russia People's Front",6,"","",0,60,"",643,"Europe","Russia","Smolensk","Smolensk","","Smolensk",54.7818,32.0401,1,"GTRK Smolensk","Subnational","On 14 November 2022, people gathered in Smolensk to participate in a rally in support of the Russian military invasion of Ukraine. The rally was organized by the pro-government All-Russia People's Front.",0,"crowd size=no report",1680633862,0,"7_war",0.994471047110457,TRUE,"war",0,0,2022-11-14,"2022-11"
"RUS9151","13 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Tambov","Tambov","","Tambov",52.7317,41.4433,1,"Moskovskij Komsomolets","National","On 13 November 2022, people gathered in Tambov to participate in a rally in support of the Russian military invasion of Ukraine.",0,"crowd size=no report",1680633862,0,"7_war",0.991483419008936,TRUE,"war",0,0,2022-11-13,"2022-11"
"RUS9126","12 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","NOD: National Liberation Movement",6,"","",0,60,"",643,"Europe","Russia","Moscow","","","Moscow",55.7522,37.6156,1,"Peterburgskiy Vestnik","National","On 12 November 2022, NOD activists staged a demonstration in Moscow, calling for a nuclear strike on Washington.",0,"crowd size=no report",1669144126,1,"1_cultural",0.991423974359294,TRUE,"cultural",0,0,2022-11-12,"2022-11"
"RUS9113","11 November 2022",2022,2,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",6,"","",0,60,"",643,"Europe","Russia","Ivanovo","Ivanovo","","Ivanovo",56.9972,40.9714,1,"KPRF","Other","Around 11 November 2022 (as reported), KPRF members held a series of pickets in front of the Ivanovo administration, protesting against the new system of electoral division that was being discussed.",0,"crowd size=no report",1668530073,0,"2_economic",0.994723250149513,TRUE,"economic",0,0,2022-11-11,"2022-11"
"RUS9154","11 November 2022",2022,1,"Demonstrations","Protests","Protest with intervention","Protesters (Russia)","",6,"Rioters (Russia)","Police Forces of Russia (2000-)",5,56,"",643,"Europe","Russia","Republic of Bashkortostan","Ufa","","Ufa",54.7852,56.0456,1,"OVD Info","National","On 11 November 2022, several activists staged a protest action in Ufa, protesting against the removal of a monument. Despite the authorities' claims that the monument was removed to carry out restoration works, the activists are worried that it was removed permanently. During the protest, an unknown individual attacked protesters with tear gas, after which police intervened and arrested 10 people.",0,"crowd size=several",1669144126,0,"3_environmental",0.309944182901873,TRUE,"environmental",0,0,2022-11-11,"2022-11"
"RUS9107","11 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Republic of Tuva","Kyzyl","","Kyzyl",51.7147,94.4534,1,"Moskovskij Komsomolets","National","On 11 November 2022, around 300 people gathered in Kyzyl in support of the Russian armed forces.",0,"crowd size=around 300",1680633836,0,"7_war",0.98961240310313,TRUE,"war",0,0,2022-11-11,"2022-11"
"RUS9124","11 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-); ER: United Russia",6,"","",0,60,"",643,"Europe","Russia","Oryol","Oryol","","Oryol",52.9624,36.1021,1,"Oryol-region","Subnational","On 11 November 2022, people gathered in Oryol to participate in a concert-rally in support of the Russian military invasion of Ukraine. High-level state officials and the ruling United Russia party members spoke at the event.",0,"crowd size=no report",1680633862,1,"7_war",0.995519006219509,TRUE,"war",0,0,2022-11-11,"2022-11"
"RUS9106","10 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","",6,"","",0,60,"",643,"Europe","Russia","Kamchatka","Elizovskiy","","Yelizovo",53.1888,158.3825,1,"Kamchatka Media","Subnational","On 10 November 2022, around 300 people gathered in Yelizovo in support of the Russian armed forces.",0,"crowd size=around 300",1680633836,0,"7_war",0.98961240310313,TRUE,"war",0,0,2022-11-10,"2022-11"
"RUS9115","08 November 2022",2022,1,"Demonstrations","Protests","Protest with intervention","Protesters (Russia)","",6,"Police Forces of Russia (2000-)","",1,16,"",643,"Europe","Russia","Moscow","","","Moscow",55.7522,37.6156,1,"TV Rain; Activatica","Other-National","On 8 November 2022, 5 activists blocked the road to prevent the construction company's drivers to access the Bitzevsky Forest in Moscow, during the action to protect the forest from the ongoing construction works. The company's workers attacked the activists. Later, the police arrived at the place and arrested everyone.",0,"crowd size=5",1668530072,0,"3_environmental",0.570050323738259,TRUE,"environmental",0,0,2022-11-08,"2022-11"
"RUS9105","08 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Government of Russia (2000-); Former Military Forces of Russia (2000-); Combat Brotherhood",6,"","",0,60,"",643,"Europe","Russia","Magadan","Magadan","","Magadan",59.5638,150.8035,1,"Rossiyskaya Gazeta","National","On 8 November 2022, people gathered in Magadan in support of the Russian armed forces. The head of the region and Combat Brotherhood members spoke at the event.",0,"crowd size=no report",1680633836,1,"7_war",0.993738914723102,TRUE,"war",0,0,2022-11-08,"2022-11"
"RUS9114","06 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Tatar Ethnic Group (Russia)",6,"","",0,60,"",643,"Europe","Russia","Republic of Tatarstan","Kazan","","Kazan",55.7887,49.1221,1,"RFE/RL","International","On 6 November 2022, activists from the Tatar Youth Union held a series of pickets in Kazan on the day of the Constitution of Tatarstan. Activists demanded that the provisions of the Constitution are followed by the authorities.",0,"crowd size=no report",1668530075,0,"1_cultural",0.608552355609634,TRUE,"cultural",0,0,2022-11-06,"2022-11"
"RUS9103","05 November 2022",2022,1,"Demonstrations","Protests","Peaceful protest","Protesters (Russia)","Military Forces of Russia (2000-)",6,"","",0,60,"",643,"Europe","Russia","Republic of Tatarstan","Kazan","","Kazan",55.7887,49.1221,1,"TV Rain; RFE/RL","National-International","On 5 November 2022, dozens of Russian draftees protested at the military training center in Kazan, denouncing the bad quality of equipment, food, and unsanitary living conditions. Since the start of the mobilizations, training and living conditions of the draftees, as well as the lack of military equipment have been the source of numerous complaints on social media, with several protests taking place at training centers.",0,"crowd size=dozens",1668530072,1,"3_environmental",0.593485915215428,TRUE,"environmental",0,0,2022-11-05,"2022-11"
"RUS9082","04 November 2022",2022,1,"Demonstrations","Protests","Protest with intervention","Protesters (Russia)","",6,"Police Forces of Russia (2000-)","",1,16,"",643,"Europe","Russia","Republic of Buryatia","Ulan-Ude","","Ulan-Ude",51.8272,107.6063,1,"Activatica; Meduza","Other-National","On 4 November 2022, activists gathered on the central square in Ulan-Ude, where a pro-government rally was supposed to take place. Police started to arrest everyone, arriving at the square, and finally were forced to cancel the rally, fearing that it would be disrupted by anti-war protesters. At least 8 activists were arrested.",0,"crowd size=no report",1667941953,0,"1_cultural",0.996803035216683,TRUE,"cultural",0,0,2022-11-04,"2022-11"
