Unnamed: 0,event_id_cnty,event_date,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,pro_kremlin_indicator,unauthorized,authorized,topic_manual,war_related,pro_regime,mention_of_authorisation,authorisation__notes,year,pred_labels,month_year,org_indicator,date,post_invasion,police_violence,election_month,federal_subject,reg_code,region_name_ru,feddis_name_en,feddis_name_ru,feddis_code
5799,RUS2891,2019-08-05,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Novosibirsk,Novosibirsk,NA,Novosibirsk,55.0415,82.9346,1,RFE/RL,International,"On 5 August 2019, more than 300 people took part in an authorized protest in Novosibirsk against the hikes to energy tariffs.",0,crowd size=more than 300,1652899829,0,0,1,,NA,NA,NA,,2019,economic,2019-08,,2019-08-05,0,0,0,Novosibirsk region,71,Новосибирская область,siberian,Сибирский федеральный округ,6
1832,RUS7212,2021-11-23,2,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Krasnoyarsk,Minusinsk,NA,Minusinsk,53.7019,91.6972,1,Tayga.Info,National,"Around 23 November 2021 (as reported), protesters gathered at a public area in Minusinsk to record a video appeal to the Russian president, demanding that he cancel mandatory coronavirus vaccination certificates for entry to a number of public spaces, including shopping malls, restaurants and government buildings, claiming the measures violated their rights, 'dehumanized' them and were a 'crime against humanity'.",0,crowd size=no report,1638296434,0,0,0,social,NA,NA,NA,,2021,social,2021-11,,2021-11-23,0,0,0,Krasnoyarsk territory,68,Красноярский край,siberian,Сибирский федеральный округ,6
6723,RUS1777,2019-02-16,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Nizhny Novgorod,Nizhniy Novgorod,NA,Nizhny Novgorod,56.2946,43.9412,1,Moskovskij Komsomolets,National,"On 16 February 2019, several dozen people took part in a protest in Nizhny Novgorod in opposition to the construction of a new temple in the local park, calling for the administration to develop it into a recreational zone instead. No incidents were reported.",0,crowd size=several dozen,1683068772,0,0,0,,NA,NA,NA,,2019,environmental,2019-02,,2019-02-16,0,0,0,Nizhny novgorod region,50,Нижегородская область,volga,Приволжский федеральный округ,4
3968,RUS4792,2020-08-05,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of North Ossetia-Alania,Vladikavkaz,NA,Vladikavkaz,43.0367,44.6678,1,RFE/RL,International,"On 5 August 2020, an unspecified number of people took part in a series of coordinated one-person protests in Vladikavkaz in support of the arrested organizer of protests denying the existence of the coronavirus pandemic and against the coronavirus containment measures that took place in Vladikavkaz in April.",0,crowd size=no report,1618499501,0,0,0,social,NA,NA,NA,,2020,social,2020-08,,2020-08-05,0,0,0,Republic of North Ossetia -Alania,36,Республика Северная Осетия - Алания,south,Южный федеральный округ,3
2798,RUS6048,2021-02-23,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Arkhangelsk,Lenskiy,NA,Urdoma,61.7482,48.5474,2,RFE/RL,International,"On 23 February 2021, over 60 people set up a camp near Urdoma, alleging that the authorities are attempting to resume the construction of the massive waste collection polygon near the Shiyes station nearby.",0,crowd size=over 60,1618489548,0,0,0,environmental,NA,NA,NA,,2021,environmental,2021-02,,2021-02-23,0,0,0,Arkhangelsk region,21,Архангельская область,north_west,Северо-Западный федеральный округ ,2
4864,RUS3865,2019-12-22,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Sverdlovsk,Ekaterinburg,NA,Yekaterinburg,56.8519,60.6122,1,Rosbalt; Znak,National,"On 22 December 2019, about 6-8 people took part in a protest in Yekaterinburg against the importation and storage of nuclear waste from Germany in the region.",0,crowd size=about 6-8,1649875467,0,0,0,,NA,NA,NA,,2019,environmental,2019-12,,2019-12-22,0,0,0,Sverdlovsk region,58,Свердловская область,ural,Уральский федеральный округ,5
4041,RUS4731,2020-07-25,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Saint Petersburg,Tsentralnyy,NA,St. Petersburg - Tsentralny,59.9324,30.3654,1,MBK Media,National,"On 25 July 2020, at least 3 people took part in a series of coordinated one-person protests in St. Petersburg-Tsentralny against Moscow's appointment of a new acting Khabarovsk Krai governor and in support of the previous LDPR governor of Khabarovsk Krai Sergei Furgal who was arrested on charges of involvement in multiple murders of several businessmen in the region and nearby territories in 2004 and 2005. His supporters maintain that the charges were politically motivated.",0,crowd size=at least 3,1620775296,0,0,0,political,NA,NA,NA,,2020,political,2020-07,,2020-07-25,0,0,1,The City of Saint-Petersburg,29,Санкт-Петербург,north_west,Северо-Западный федеральный округ ,2
4151,RUS4607,2020-07-02,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Komi,Syktyvkar,NA,Syktyvkar,61.6764,50.8099,1,7x7,National,"On 2 July 2020, at least 3 activists took part in a series of coordinated one-person protests in Syktyvkar against the set of constitutional amendments that could extend Vladimir Putin's presidential term past 2024.",0,crowd size=at least 3,1618500473,0,0,0,legal,NA,NA,NA,,2020,legal,2020-07,,2020-07-02,0,0,1,Republic of Komi,20,Республика Коми ,north_west,Северо-Западный федеральный округ ,2
6935,RUS2207,2018-12-03,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Kirov,Kirov,NA,Kirov,58.5967,49.6601,1,7x7,National,"On 3 December 2018, parents of children with disabilities protested in Kirov demanding an increase in their social benefits.",0,crowd size=no report,1649285426,0,0,0,,NA,NA,NA,,2018,social,2018-12,,2018-12-03,0,0,0,Kirov region,49,Кировская область,volga,Приволжский федеральный округ,4
2886,RUS5952,2021-02-06,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Arkhangelsk,Arkhangelsk,NA,Arkhangelsk,64.5401,40.5433,1,News29.ru,Subnational,"On 6 February 2021, about 100 people took part in a demonstration in support of the government of President Vladimir Putin in Arkhangelsk, which was filmed on posted on social following several large protests in support of opposition politician Alexei Navalny between January 23 and 31, 2021.",0,crowd size=about 100,1618491009,0,0,0,,NA,NA,NA,,2021,political,2021-02,,2021-02-06,0,0,0,Arkhangelsk region,21,Архангельская область,north_west,Северо-Западный федеральный округ ,2
5542,RUS3195,2019-09-22,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Tambov,Tambov,NA,Tambov,52.7317,41.4433,1,7x7,National,"On 22 September 2019, at least 3 activists took part in coordinated one-person protests in Tambov against the so-called rubbish reform and the construction of new rubbish collection and recycling plants in Arkhangelsk oblast.",0,crowd size=at least 3,1652899826,0,0,0,,NA,NA,NA,,2019,environmental,2019-09,,2019-09-22,0,0,0,Tambov region,14,Тамбовская область,central,Центральный федеральный округ,1
3797,RUS4974,2020-09-05,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Saint Petersburg,Tsentralnyy,NA,St. Petersburg - Tsentralny,59.9324,30.3654,1,MBK Media,National,"On 5 September 2020, about 100 people took part in a series of coordinated one-person protests in St. Petersburg-Tsentralny in support of Khabarovsk and Belarusian protesters, as well as in support of poisoned opposition figure Alexei Navalny.",0,crowd size=about 100,1620775296,0,0,0,political,NA,NA,NA,,2020,political,2020-09,,2020-09-05,0,0,0,The City of Saint-Petersburg,29,Санкт-Петербург,north_west,Северо-Западный федеральный округ ,2
1998,RUS6998,2021-10-14,1,Demonstrations,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),Police Forces of Russia (2000-) Centre for Combating Extremism; Military Forces of Russia (2000-) National Guard,1,16,,643,Europe,Russia,Moscow,Tsentralnyy,NA,Moscow - Central,55.7571,37.6173,1,TV Rain; OVD Info,National,"On 14 October 2021, at least 20 allegedly pro-government protesters entered a screening room at the headquarters of Memorial, a renowned Russian NGO, in Moscow - Central, attempting to force organizers to cancel the screening of an anti-Soviet film. The protesters shouted slogans such as 'shame!', 'fascists!' and 'leave!'. Police, National Guard and the Center for Combating Extremism arrived and detained several of the protesters. Participants of the screening claimed police detained only 3 out of at least 20 protesters and expressed doubts as to whether those detained were taken to a police station. People present at the screening also claimed that police forced them to stay at the premises for an excessive amount of time, and that officers arbitrarily confiscated some of the facility's equipments, in an attempt to intimidate organizers from organizing events with messages that are not in line with the Russian government's vision of Soviet history.",0,crowd size=at least 20,1635274012,0,0,0,cultural,NA,NA,NA,,2021,cultural,2021-10,,2021-10-14,0,1,0,The City of Moscow,18,Москва ,central,Центральный федеральный округ,1
5017,RUS3713,2019-12-09,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Omsk,Omsk,NA,Omsk,55,73.4,1,MBK Media,National,"On 9 December 2019, at least 10 activists took part in a series of coordinated one-person protests in Omsk in support of two Rostov-on-Don activists who were sentenced to over 6 years in prison for taking part in unauthorized protests.",0,crowd size=at least 10,1649875469,0,1,0,,NA,NA,NA,,2019,political,2019-12,,2019-12-09,0,0,0,Omsk region,72,Омская область ,siberian,Сибирский федеральный округ,6
2480,RUS6398,2021-05-19,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Moscow,,NA,Moscow,55.7522,37.6156,1,Activatica,Other,"On 19 May 2021, local residents staged a protest against the cutting down of trees in the Otradnoe park in Moscow, blocking the path of the construction vehicles.",0,crowd size=no report,1621981993,0,0,0,environmental,NA,NA,NA,,2021,environmental,2021-05,,2021-05-19,0,0,0,The City of Moscow,18,Москва ,central,Центральный федеральный округ,1
4896,RUS3837,2019-12-17,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Ingushetia,Dzheyrakhskiy,NA,Ali-Yurt,43.1425,44.8525,1,Region Online,National,"On 17 December 2019, an unspecified number of people took part in a protest in the village of Ali-Yurt against the plans to set up a new aluminium plant in the region.",0,crowd size=no report,1649875468,0,0,0,,NA,NA,NA,,2019,environmental,2019-12,,2019-12-17,0,0,0,Republic of Ingushetia,32,Республика Ингушетия,south,Южный федеральный округ,3
8146,RUS88,2018-01-28,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Krasnodar,Sochi,NA,Sochi,43.5992,39.7257,1,Caucasian Knot,Subnational,"On 28 January 2018, protestors gathered in Sochi for a demonstration against what they believed to be a fraudulent building project. The organization that organized the protest, the 'Association of Deceived Shareholders', claimed that over 200 people participated in the rally.",0,,1653503241,0,0,0,,NA,NA,NA,,2018,economic,2018-01,,2018-01-28,0,0,0,Krasnodar territory,38,Краснодарский край,south,Южный федеральный округ,3
2089,RUS6871,2021-09-17,1,Demonstrations,Protests,Peaceful protest,Protesters (Belarus),,6,,,0,60,,643,Europe,Russia,Moscow,,NA,Moscow,55.7522,37.6156,1,Charter-97,International,"On 17 September 2021, Belarusians living in Russia gathered at an unspecified location in Moscow in solidarity with political prisoners in Belarus.",0,crowd size=no report,1632247001,0,0,0,political,NA,NA,NA,,2021,political,2021-09,,2021-09-17,0,0,1,The City of Moscow,18,Москва ,central,Центральный федеральный округ,1
8035,RUS201,2018-02-25,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Tatarstan,Kazan,NA,Kazan,55.7887,49.1221,1,RFE/RL,International,"On 25 February 2018, there was a rally in Kazan in order to commemorate the death of Boris Nemtsov. The exact number of participants is not known.",0,,1652375201,0,0,0,,NA,NA,NA,,2018,political,2018-02,,2018-02-25,0,0,0,Republic of Tatarstan,46,Республика Татарстан,volga,Приволжский федеральный округ,4
4884,RUS3850,2019-12-21,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Saint Petersburg,Primorskiy,NA,St. Petersburg - Primorsky,60.0213,30.2034,1,Kommersant,National,"On 21 December 2019, an unspecified number of people took part in a protest in Saint Petersburg's Primorsky district against the expansion of construction projects into the city's green zones.",0,crowd size=no report,1649875467,0,0,0,,NA,NA,NA,,2019,environmental,2019-12,,2019-12-21,0,0,0,The City of Saint-Petersburg,29,Санкт-Петербург,north_west,Северо-Западный федеральный округ ,2
3727,RUS5057,2020-09-22,1,Demonstrations,Riots,Violent demonstration,Rioters (Russia),,5,Police Forces of Russia (2000-),,1,15,,643,Europe,Russia,Republic of Dagestan,Makhachkala,NA,Krasnoarmeyskoye,43.0177,47.4088,1,Caucasian Knot,National,"On 22 September 2020, about 300 people took part in a violent demonstration in the village of Krasnoarmeyskoye over to a land dispute with the local authorities, claiming ownership of several plots of land in the vicinity. The demonstrators threw rocks at the police, who responded with tear gas, tasers, and less-than-lethal munitions, detaining at least 27 people in the process. 2 people reported injuries that required medical assistance.",0,crowd size=about 300,1618498004,0,0,0,economic,NA,NA,NA,,2020,social,2020-09,,2020-09-22,0,0,0,Republic of Daghestan,31,Республика Дагестан ,south,Южный федеральный округ,3
4115,RUS4640,2020-07-11,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of North Ossetia-Alania,Vladikavkaz,NA,Vladikavkaz,43.0367,44.6678,1,Caucasian Knot,National,"On 11 July 2020, at least 8 people took part in a protest in Vladikavkaz in support of a local resident who is being accused of financing terror groups.",0,crowd size=at least 8,1618500226,0,0,0,social,NA,NA,NA,,2020,political,2020-07,,2020-07-11,0,0,1,Republic of North Ossetia -Alania,36,Республика Северная Осетия - Алания,south,Южный федеральный округ,3
7572,RUS823,2018-06-29,2,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Dagestan,Khasavyurt,NA,Khasavyurt,43.2509,46.5877,1,Caucasian Knot,National,"On 29 June 2018, residents of Dagestan protested against the arrest of a fellow villager in Khasavyurt. Protesters blocked the road, which prevented the police officer from taking away the villager. They unblocked the road once the villager was released.",0,,1618568741,0,0,0,,NA,NA,NA,,2018,social,2018-06,,2018-06-29,0,0,0,Republic of Daghestan,31,Республика Дагестан ,south,Южный федеральный округ,3
5121,RUS3611,2019-11-29,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Moscow,Tsentralnyy,NA,Moscow - Central,55.7571,37.6173,1,Novaya Gazeta,National,"On 29 November 2019, about 15 people took part in a series of coordinated one person protests in central Moscow in front of the Prosecutor General's Office in support of a Komsomolsk activist who is accused of spreading pornography because of her sharing body-positive images on social media.",0,crowd size=about 15,1652899817,0,0,0,,NA,NA,NA,,2019,social,2019-11,,2019-11-29,0,0,0,The City of Moscow,18,Москва ,central,Центральный федеральный округ,1
7697,RUS658,2018-05-18,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Krasnodar,Mostovskiy,NA,Psebay,44.1234,40.8107,1,Meduza,National,"On 18 May 2018, following the murder of a woman, citizens of Psebay participated in a spontaneous rally in Psebay to protest against the result of the murder investigation, which they believe did not take into consideration all elements and aimed at protecting teenagers with family ties to local power structures. The head of Psebay district Pavel Zharkov resigned shortly after on 21 May 2018 and was replaced by Aleksey Bukin.",0,,1618568713,0,0,0,social,NA,NA,NA,,2018,social,2018-05,,2018-05-18,0,0,0,Krasnodar territory,38,Краснодарский край,south,Южный федеральный округ,3
5541,RUS3194,2019-09-22,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Kirov,Kirov,NA,Kirov,58.5967,49.6601,1,7x7,National,"On 22 September 2019, about 60 people took part in an authorized ecological protest in Kirov against the so-called rubbish reform and the construction of new rubbish collection and recycling plants in Arkhangelsk oblast.",0,crowd size=about 60,1652899826,0,0,1,,NA,NA,NA,,2019,environmental,2019-09,,2019-09-22,0,0,0,Kirov region,49,Кировская область,volga,Приволжский федеральный округ,4
7866,RUS468,2018-05-01,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Khabarovsk,Khabarovsk,NA,Khabarovsk,48.4827,135.0838,1,Vostok-media,National,On 1 May 2018 the rally Monstratsia was held in Khabarovsk. The demonstration was mocking of official May 1 events.,0,,1649286163,0,0,0,,NA,NA,NA,,2018,political,2018-05,,2018-05-01,0,0,0,Khabarovsk territory,77,Хабаровский край ,far_east,Дальневосточный федеральный округ,7
3460,RUS5331,2020-11-14,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Saint Petersburg,Vyborgskiy,NA,St. Petersburg - Vyborgsky,60.0786,30.2616,1,MBK Media,National,"On 14 November 2020, about 40 people staged a protest in St. Petersburg-Vyborgsky against the plans to demolish the building of the old research institute.",0,crowd size=about 40,1620775296,0,0,0,cultural,NA,NA,NA,,2020,cultural,2020-11,,2020-11-14,0,0,0,The City of Saint-Petersburg,29,Санкт-Петербург,north_west,Северо-Западный федеральный округ ,2
4061,RUS4695,2020-07-19,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Khabarovsk,Komsomolsk-na-Amure,NA,Komsomolsk-on-Amur,50.5503,137.01,1,Interfax,National,"On 19 July 2020, people took part in a protest in Komsomolsk-on-Amur in support of the LDPR governor of Khabarovsk Krai Sergei Furgal who was arrested on charges of involvement in multiple murders of several businessmen in the region and nearby territories in 2004 and 2005. His supporters maintain that the charges were politically motivated.",0,crowd size=no report,1618499954,0,0,0,political,NA,NA,NA,,2020,political,2020-07,,2020-07-19,0,0,1,Khabarovsk territory,77,Хабаровский край ,far_east,Дальневосточный федеральный округ,7
2894,RUS5944,2021-02-05,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Republic of Dagestan,Khasavyurt,NA,Khasavyurt,43.2509,46.5877,1,Caucasian Knot,National,"On 5 February 2021, an unspecified number of people took part in a demonstration in support of the government of President Vladimir Putin in Khasavyurt, following several large protests in support of opposition politician Alexei Navalny between January 23 and 31, 2021.",0,crowd size=no report,1618491094,0,0,0,,NA,NA,NA,,2021,political,2021-02,,2021-02-05,0,0,0,Republic of Daghestan,31,Республика Дагестан ,south,Южный федеральный округ,3
2005,RUS6993,2021-10-11,1,Demonstrations,Protests,Protest with intervention,Protesters (Russia),,6,Police Forces of Russia (2000-),,1,16,,643,Europe,Russia,Moscow Oblast,Serpukhov,NA,Serpukhov,54.9157,37.4111,1,OVD Info,National,"On 11 October 2021, three protesters gathered in Serpukhov, Moscow Oblast, to demand limits be imposed on emissions by a local ceramics factory. Police intervened in the event, detaining all three participants, presumably for participating in an unauthorized protest.",0,crowd size=3,1634664073,0,1,0,environmental,NA,NA,NA,,2021,environmental,2021-10,,2021-10-11,0,1,0,Moscow region,10,Московская область,central,Центральный федеральный округ,1
1744,RUS7312,2021-12-12,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Udmurt Republic,Glazov,NA,Glazov,58.1403,52.6461,1,RFE/RL,International,"On 12 December 2021, approximately 300 protesters gathered in Glazov to oppose the mandatory use of coronavirus vaccination certificates for entry to a number of public spaces, including shopping malls, restaurants and government buildings.",0,crowd size=approximately 300,1641935016,0,0,0,social,NA,NA,NA,,2021,social,2021-12,,2021-12-12,0,0,0,Udmurt Republic,47,Удмуртская Республика,volga,Приволжский федеральный округ,4
5201,RUS3523,2019-11-16,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Rostov,Rostov-na-Donu,NA,Rostov-on-Don,47.2213,39.6939,1,Caucasian Knot,National,"On 16 November 2019, about 90 people took part in an authorized protest in Rostov-on-Don against the construction of a new rubbish collection plant near a residential area in the city.",0,crowd size=about 90,1652899818,0,0,1,,NA,NA,NA,,2019,environmental,2019-11,,2019-11-16,0,0,0,Rostov region,42,Ростовская область,south,Южный федеральный округ,3
4217,RUS4539,2020-06-17,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Chelyabinsk,Verkhneuralskiy,NA,Sukhtelinskiy,53.9447,60.0793,1,MBK Media,National,"On 17 June 2020, several dozen local residents took part in a protest in the village of Sukhtelinskiy, demanding the authorities address the issues with inconsistent water supply in the region.",0,crowd size=several dozen,1618500991,0,0,0,social,NA,NA,NA,,2020,social,2020-06,,2020-06-17,0,0,1,Chelyabinsk region,62,Челябинская область,ural,Уральский федеральный округ,5
2279,RUS6670,2021-07-31,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Khabarovsk,Khabarovsk,NA,Khabarovsk,48.4827,135.0838,1,MBK Media,National,"On 31 July 2021, protesters gathered in Khabarovsk to demand the release from prison of the former governor of Khabarovsk Oblast, Sergei Furgal, who was arrested in summer 2020 on charges of organizing murders in the early 2000s.",0,crowd size=no report,1631042322,0,0,0,political,NA,NA,NA,,2021,political,2021-07,,2021-07-31,0,0,0,Khabarovsk territory,77,Хабаровский край ,far_east,Дальневосточный федеральный округ,7
4194,RUS4561,2020-06-22,1,Demonstrations,Protests,Peaceful protest,Protesters (Russia),,6,,,0,60,,643,Europe,Russia,Omsk,Omsk,NA,Omsk,55,73.4,1,MBK Media; Novaya Gazeta,National,"On 22 June 2020, over 100 activists took part in a protest in Omsk against the proposed set of constitutional amendments which could extend Vladimir Putin's presidential term past 2024.",0,crowd size=over 100,1618500775,0,0,0,legal,NA,NA,NA,,2020,legal,2020-06,,2020-06-22,0,0,1,Omsk region,72,Омская область ,siberian,Сибирский федеральный округ,6
